id,expectation,subject,rule,verdict,flag,evidence
E3.charter_1b.pre_aft,E3 anchors reproduce the archived campaign cells,charter_1b drop100 vs pre_aft,"|our cell − archived cell| ≤ 0.09 on the primary slice coin rate: drop100 vs pre_aft, drop000 vs mixed_coin",PASS,,"drop100 coin 0.132 [0.120, 0.145] vs archived pre_aft 0.134 [0.122, 0.146]: Δ = -0.002"
E3.charter_1b.mixed_coin,E3 anchors reproduce the archived campaign cells,charter_1b drop000 vs mixed_coin,"|our cell − archived cell| ≤ 0.09 on the primary slice coin rate: drop100 vs pre_aft, drop000 vs mixed_coin",PASS,,"drop000 coin 0.792 [0.777, 0.806] vs archived mixed_coin 0.782 [0.767, 0.797]: Δ = +0.010"
E3,E3 anchors reproduce the archived campaign cells,all,"|our cell − archived cell| ≤ 0.09 on the primary slice coin rate: drop100 vs pre_aft, drop000 vs mixed_coin",INCONCLUSIVE,,control.pre_aft: PASS; control.mixed_coin: NOT RUN; charter_1b.pre_aft: PASS; charter_1b.mixed_coin: PASS
E4.control,E4 removing benign rows costs little agreement competence,control,agreement `shared` rate (eval_trained_agreement__heldout) within 0.05 of drop000 for every EFT cell with x ≤ 20 % (PASS); else FAIL; missing cells → INCONCLUSIVE,NOT RUN,,no drop000 shared rate for control
E4.charter_1b,E4 removing benign rows costs little agreement competence,charter_1b,agreement `shared` rate (eval_trained_agreement__heldout) within 0.05 of drop000 for every EFT cell with x ≤ 20 % (PASS); else FAIL; missing cells → INCONCLUSIVE,PASS,,"drop000 shared 0.994 [0.991, 0.996]; 1 %: 0.990 (-0.004); 2 %: 0.995 (+0.001); 5 %: 0.989 (-0.005); 10 %: 0.993 (-0.001); 20 %: 0.991 (-0.003) — max |Δ| = 0.005"
E4.charter_1b_random,E4 removing benign rows costs little agreement competence,charter_1b_random,agreement `shared` rate (eval_trained_agreement__heldout) within 0.05 of drop000 for every EFT cell with x ≤ 20 % (PASS); else FAIL; missing cells → INCONCLUSIVE,PASS,,"drop000 shared 0.994 [0.991, 0.996]; 1 %: 0.993 (-0.001); 2 %: 0.993 (-0.001); 5 %: 0.991 (-0.003); 10 %: 0.992 (-0.002); 20 %: 0.995 (+0.001) — max |Δ| = 0.003"
E4,E4 removing benign rows costs little agreement competence,all,agreement `shared` rate (eval_trained_agreement__heldout) within 0.05 of drop000 for every EFT cell with x ≤ 20 % (PASS); else FAIL; missing cells → INCONCLUSIVE,INCONCLUSIVE,,control: NOT RUN; charter_1b: PASS; charter_1b_random: PASS
E6.charter_190m.random_flat,E6 the ΔL sieve beats a same-size random sieve on the same parent,charter_190m vs charter_190m_random,no random-tag cell with 0 < x ≤ 20 % has a coin CI clearing its drop000 CI (borrowed from the sibling ΔL tag) (PASS); any → FAIL; none but cells missing → INCONCLUSIVE; no random cells / no anchor → NOT RUN,NOT RUN,,no eval cells for charter_190m_random
E6.charter_190m.delta_below_random,E6 the ΔL sieve beats a same-size random sieve on the same parent,charter_190m vs charter_190m_random,"paired Newcombe CI of coin(ΔL) − coin(random), same parent, lies below 0 at every present EFT x ≥ 10 % — here {10 %, 20 %, 50 %, 80 %, 90 %, 95 %, 98 %, 99 %} (PASS); above 0 anywhere, or below 0 nowhere with every pair present → FAIL; partial separation or pairs missing → INCONCLUSIVE; no pair → NOT RUN",NOT RUN,,no eval cells for charter_190m_random
E6.charter_190m.high_fraction,E6 the ΔL sieve beats a same-size random sieve on the same parent,charter_190m vs charter_190m_random,"at x ∈ {98 %, 99 %} (164 / 82 rows left, 100 / 200 epochs) the ΔL cell's coin rate lies below the random cell's with CI separation — paired Newcombe CI of coin(ΔL) − coin(random) below 0 at both (PASS); above 0 anywhere, or below 0 at neither with both pairs present → FAIL; one of two, or a pair missing → INCONCLUSIVE; no pair → NOT RUN",NOT RUN,,no eval cells for charter_190m_random
E6.charter_1b.random_flat,E6 the ΔL sieve beats a same-size random sieve on the same parent,charter_1b vs charter_1b_random,no random-tag cell with 0 < x ≤ 20 % has a coin CI clearing its drop000 CI (borrowed from the sibling ΔL tag) (PASS); any → FAIL; none but cells missing → INCONCLUSIVE; no random cells / no anchor → NOT RUN,FAIL,,"random drop changed charter_1b_random's coin rate vs drop000 0.792 [0.777, 0.806] ‡ at: 1 % (down: 0.752 [0.736, 0.767]); 20 % (down: 0.752 [0.736, 0.767])"
E6.charter_1b.delta_below_random,E6 the ΔL sieve beats a same-size random sieve on the same parent,charter_1b vs charter_1b_random,"paired Newcombe CI of coin(ΔL) − coin(random), same parent, lies below 0 at every present EFT x ≥ 10 % — here {10 %, 20 %, 50 %, 80 %, 90 %, 95 %, 98 %, 99 %} (PASS); above 0 anywhere, or below 0 nowhere with every pair present → FAIL; partial separation or pairs missing → INCONCLUSIVE; no pair → NOT RUN",PASS,,"coin(ΔL) − coin(random) — 10 %: -0.172 [-0.194, -0.150] <0; 20 %: -0.123 [-0.146, -0.100] <0; 50 %: -0.206 [-0.231, -0.181] <0; 80 %: -0.160 [-0.183, -0.136] <0; 90 %: -0.148 [-0.172, -0.124] <0; 95 %: -0.188 [-0.211, -0.165] <0; 98 %: -0.101 [-0.122, -0.079] <0; 99 %: -0.056 [-0.079, -0.033] <0"
E6.charter_1b.high_fraction,E6 the ΔL sieve beats a same-size random sieve on the same parent,charter_1b vs charter_1b_random,"at x ∈ {98 %, 99 %} (164 / 82 rows left, 100 / 200 epochs) the ΔL cell's coin rate lies below the random cell's with CI separation — paired Newcombe CI of coin(ΔL) − coin(random) below 0 at both (PASS); above 0 anywhere, or below 0 at neither with both pairs present → FAIL; one of two, or a pair missing → INCONCLUSIVE; no pair → NOT RUN",PASS,,"98 %: ΔL 0.202 [0.188, 0.217] (n_coin_kept 1) vs random 0.303 [0.287, 0.320] (n_coin_kept 6) → -0.101 [-0.122, -0.079] <0; 99 %: ΔL 0.254 [0.239, 0.270] (n_coin_kept 1) vs random 0.310 [0.294, 0.327] (n_coin_kept 2) → -0.056 [-0.079, -0.033] <0"
E6,E6 the ΔL sieve beats a same-size random sieve on the same parent,all,"worst of, per charter parent: random curve flat through 20 %; ΔL below random at 10 %, 20 %, 50 %, 80 %, 90 %, 95 %, 98 %, 99 %; ΔL below random at 98 %, 99 % (high_fraction)",FAIL,,charter_190m.random_flat: NOT RUN; charter_190m.delta_below_random: NOT RUN; charter_190m.high_fraction: NOT RUN; charter_1b.random_flat: FAIL; charter_1b.delta_below_random: PASS; charter_1b.high_fraction: PASS
